Gen# 	 MinFit 	 AvgFit 	 MaxFit 
 93 	 7.22007E-02 	 2.97746E-01 	 7.56929E-01 
 94 	 7.22007E-02 	 3.02061E-01 	 6.67726E-01 
 95 	 7.22007E-02 	 2.97209E-01 	 6.40306E-01 
 96 	 7.22007E-02 	 3.16390E-01 	 8.10342E-01 
 97 	 7.22007E-02 	 3.02968E-01 	 8.14032E-01 
 98 	 7.22007E-02 	 3.30004E-01 	 8.97118E-01 
 99 	 7.22007E-02 	 3.30307E-01 	 7.37909E-01 
100 	 7.22007E-02 	 3.13768E-01 	 7.79944E-01 
101 	 7.22007E-02 	 3.03918E-01 	 6.48860E-01 
102 	 7.22007E-02 	 3.05334E-01 	 7.42134E-01 
103 	 7.22007E-02 	 3.12069E-01 	 7.12493E-01 
104 	 7.22007E-02 	 3.06624E-01 	 8.54286E-01 
105 	 7.22007E-02 	 2.98135E-01 	 6.02191E-01 
106 	 7.22007E-02 	 3.03403E-01 	 7.08706E-01 
107 	 7.22007E-02 	 2.95874E-01 	 7.17337E-01 
108 	 7.22007E-02 	 2.93958E-01 	 7.03533E-01 
109 	 7.22007E-02 	 2.87351E-01 	 7.74057E-01 
110 	 7.22007E-02 	 2.89644E-01 	 6.37437E-01 
111 	 7.22007E-02 	 3.14518E-01 	 8.08846E-01 
112 	 7.22007E-02 	 3.08435E-01 	 6.57960E-01 
113 	 7.22007E-02 	 3.18090E-01 	 8.03972E-01 
114 	 7.22007E-02 	 3.02097E-01 	 5.06680E-01 
115 	 7.22007E-02 	 3.11804E-01 	 7.49676E-01 
116 	 7.22007E-02 	 3.07469E-01 	 7.09164E-01 
117 	 7.22007E-02 	 3.12113E-01 	 6.96716E-01 
118 	 7.22007E-02 	 3.08497E-01 	 9.40761E-01 
119 	 7.22007E-02 	 3.09925E-01 	 6.74287E-01 
120 	 7.22007E-02 	 3.03281E-01 	 5.65844E-01 
121 	 7.22007E-02 	 3.11127E-01 	 6.37352E-01 
122 	 7.22007E-02 	 3.02768E-01 	 7.03161E-01 
123 	 7.22007E-02 	 3.02960E-01 	 6.64772E-01 
124 	 7.22007E-02 	 2.98115E-01 	 6.52852E-01 
125 	 7.22007E-02 	 2.92357E-01 	 6.24190E-01 
126 	 7.22007E-02 	 3.02434E-01 	 6.99962E-01 
127 	 7.22007E-02 	 3.01464E-01 	 6.41851E-01 
128 	 7.22007E-02 	 3.10598E-01 	 7.11121E-01 
129 	 7.22007E-02 	 3.18953E-01 	 8.09758E-01 
130 	 7.22007E-02 	 3.06975E-01 	 6.89203E-01 
131 	 7.22007E-02 	 3.19368E-01 	 8.24362E-01 
132 	 7.22007E-02 	 3.30859E-01 	 8.43533E-01 
133 	 7.22007E-02 	 2.97941E-01 	 6.98950E-01 
134 	 7.22007E-02 	 3.03641E-01 	 7.82301E-01 
135 	 7.22007E-02 	 3.06456E-01 	 8.13433E-01 
136 	 7.22007E-02 	 3.13205E-01 	 8.32190E-01 
137 	 7.22007E-02 	 2.95339E-01 	 6.58265E-01 
138 	 7.22007E-02 	 3.00738E-01 	 5.40971E-01 
